Date, Time, Temperature (C), Humidity (%)
2020-08-06,14:00:00,22.21,41.36
2020-08-06,14:30:00,22.55,38.61
2020-08-06,15:00:00,22.85,39.04
2020-08-06,15:30:00,23.39,37.61
2020-08-06,16:00:00,24.14,37.52
2020-08-06,16:30:00,23.73,38.75
2020-08-06,17:00:00,23.26,39.86
2020-08-06,17:30:00,23.26,38.84
2020-08-06,18:00:00,23.07,39.37
2020-08-06,18:30:00,22.95,39.30
2020-08-06,19:00:00,22.82,38.62
2020-08-06,19:30:00,22.82,40.54
2020-08-06,20:00:00,22.88,40.92
2020-08-06,20:30:00,22.82,40.15
2020-08-06,21:00:00,22.69,39.59
2020-08-06,21:30:00,22.56,39.68
2020-08-06,22:00:00,22.40,40.55
2020-08-06,22:30:00,22.17,39.88
2020-08-06,23:00:00,22.02,41.16
2020-08-06,23:30:00,21.89,44.45
2020-08-07,00:00:00,21.89,44.96
2020-08-07,00:30:00,21.87,45.03
2020-08-07,01:00:00,21.76,45.40
2020-08-07,01:30:00,21.66,45.49
2020-08-07,02:00:00,21.66,45.29
2020-08-07,02:30:00,21.54,45.49
2020-08-07,03:00:00,21.55,45.74
2020-08-07,03:30:00,21.42,45.94
2020-08-07,04:00:00,21.35,45.53
2020-08-07,04:30:00,21.30,44.53
2020-08-07,05:00:00,21.18,44.24
2020-08-07,05:30:00,21.04,44.54
2020-08-07,06:00:00,20.90,44.70
2020-08-07,06:30:00,20.80,44.67
2020-08-07,07:00:00,20.73,45.01
2020-08-07,07:30:00,20.70,45.11
2020-08-07,08:00:00,20.66,45.53
2020-08-07,08:30:00,20.78,45.95
2020-08-07,09:00:00,20.70,47.30
2020-08-07,09:30:00,20.84,46.81
2020-08-07,10:00:00,20.93,46.79
2020-08-07,10:30:00,21.09,46.24
2020-08-07,11:00:00,21.24,44.67
2020-08-07,11:30:00,21.35,43.23
2020-08-07,12:00:00,21.50,41.74
2020-08-07,12:30:00,21.87,39.12
2020-08-07,13:00:00,22.11,37.15
2020-08-07,13:30:00,22.06,35.76
2020-08-07,14:00:00,22.46,32.44
2020-08-07,14:30:00,22.69,31.92
2020-08-07,15:00:00,22.98,31.07
2020-08-07,15:30:00,23.37,30.50
2020-08-07,16:00:00,23.92,29.51
2020-08-07,16:30:00,23.81,30.90
2020-08-07,17:00:00,23.39,32.62
2020-08-07,17:30:00,23.29,34.22
2020-08-07,18:00:00,23.17,34.27
2020-08-07,18:30:00,23.08,35.60
2020-08-07,19:00:00,23.00,35.79
2020-08-07,19:30:00,23.10,36.88
2020-08-07,20:00:00,22.95,36.63
2020-08-07,20:30:00,22.83,36.38
2020-08-07,21:00:00,22.75,37.93
2020-08-07,21:30:00,22.67,39.65
2020-08-07,22:00:00,22.56,40.51
2020-08-07,22:30:00,22.42,41.56
2020-08-07,23:00:00,22.35,43.00
2020-08-07,23:30:00,22.34,43.50
2020-08-08,00:00:00,22.19,42.97
2020-08-08,00:30:00,22.02,43.52
2020-08-08,01:00:00,21.91,44.06
2020-08-08,01:30:00,21.81,44.21
2020-08-08,02:00:00,21.74,44.41
2020-08-08,02:30:00,21.65,44.70
2020-08-08,03:00:00,21.59,44.64
2020-08-08,03:30:00,21.50,44.92
2020-08-08,04:00:00,21.39,44.96
2020-08-08,04:30:00,21.29,45.28
2020-08-08,05:00:00,21.20,45.45
2020-08-08,05:30:00,21.04,46.00
2020-08-08,06:00:00,20.99,46.54
2020-08-08,06:30:00,20.86,46.33
2020-08-08,07:00:00,20.93,45.05
2020-08-08,07:30:00,20.93,44.66
2020-08-08,08:00:00,20.93,44.29
2020-08-08,08:30:00,20.95,44.42
2020-08-08,09:00:00,21.05,44.06
2020-08-08,09:30:00,21.10,44.60
